Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2008-08-27,21464.720703125,21464.720703125,21104.560546875,21104.560546875,1945700000.0
2008-08-28,20972.2890625,21546.939453125,20857.029296875,21546.939453125,2187600000.0
2008-08-29,21261.890625,21474.310546875,21223.990234375,21289.69921875,2047900000.0
2008-09-01,20906.310546875,21031.080078125,20844.150390625,20999.3203125,1213900000.0
2008-09-02,21042.4609375,21066.580078125,20595.58984375,20956.939453125,1618400000.0
2008-09-03,20585.060546875,20964.75,20526.73046875,20964.75,1666100000.0
2008-09-04,20389.48046875,20621.48046875,20356.509765625,20545.380859375,1561100000.0
2008-09-05,19933.279296875,19987.150390625,19708.390625,19833.869140625,2582600000.0
2008-09-08,20794.26953125,20840.689453125,20637.990234375,20840.689453125,3035300000.0
2008-09-09,20491.109375,20543.150390625,20299.970703125,20439.470703125,1942600000.0
2008-09-10,19999.779296875,20283.990234375,19951.359375,20114.859375,2697600000.0
2008-09-11,19388.720703125,19854.8203125,19220.279296875,19854.8203125,2913100000.0
2008-09-12,19352.900390625,19525.55078125,19157.73046875,19432.720703125,2445800000.0
2008-09-15,19352.900390625,19525.55078125,19157.73046875,19432.720703125,2445800000.0
2008-09-16,18300.609375,18538.509765625,18019.19921875,18325.650390625,5213600000.0
2008-09-17,17637.189453125,18699.1796875,17637.189453125,18691.30078125,4390100000.0
2008-09-18,17632.4609375,17849.970703125,16283.7197265625,17120.23046875,6237700000.0
2008-09-19,19327.73046875,19327.73046875,18588.109375,18878.259765625,6690200000.0
2008-09-22,19632.19921875,19869.01953125,19137.669921875,19869.01953125,3731600000.0
2008-09-23,18872.849609375,19302.759765625,18872.849609375,19178.490234375,2546600000.0
2008-09-24,18961.990234375,19291.01953125,18862.900390625,18954.3203125,2084500000.0
2008-09-25,18934.4296875,19248.720703125,18870.109375,19003.220703125,1682500000.0
2008-09-26,18682.08984375,18936.939453125,18500.109375,18909.58984375,1895400000.0
2008-09-29,17880.6796875,18742.25,17796.33984375,18742.25,2578500000.0
2008-09-30,18016.2109375,18029.76953125,16799.2890625,16898.330078125,3226900000.0
2008-10-01,18016.2109375,18029.76953125,16799.2890625,16898.330078125,3226900000.0
2008-10-02,18211.109375,18285.6796875,17631.69921875,17870.4296875,2476200000.0
2008-10-03,17682.400390625,17926.140625,17682.400390625,17788.990234375,2074900000.0
2008-10-06,16803.759765625,17241.779296875,16790.859375,17156.2109375,2234400000.0
2008-10-07,16803.759765625,17241.779296875,16790.859375,17156.2109375,2234400000.0
2008-10-08,15431.73046875,16422.51953125,15431.73046875,16107.98046875,4925700000.0
2008-10-09,15943.240234375,15990.2001953125,15550.8603515625,15550.8603515625,3388900000.0
2008-10-10,14796.8701171875,14910.5498046875,14398.5400390625,14717.51953125,4705200000.0
2008-10-13,16312.16015625,16376.419921875,14754.6396484375,15156.16015625,4305100000.0
2008-10-14,16832.880859375,17141.05078125,16615.009765625,17141.05078125,4018100000.0
2008-10-15,15998.2998046875,16609.08984375,15961.919921875,16609.08984375,2561700000.0
2008-10-16,15230.51953125,15230.51953125,14578.5400390625,14902.33984375,4412600000.0
2008-10-17,14554.2099609375,15300.0703125,14554.2099609375,15081.4599609375,3950800000.0
2008-10-20,15323.009765625,15472.6796875,14691.7900390625,14691.900390625,3013300000.0
2008-10-21,15041.169921875,15616.9599609375,14884.0703125,15616.9599609375,2354300000.0
2008-10-22,14266.599609375,15161.6904296875,14038.41015625,14878.2099609375,3102100000.0
2008-10-23,13760.490234375,14032.25,13403.349609375,13596.3095703125,3545900000.0
2008-10-24,12618.3798828125,13478.6298828125,12618.3798828125,13478.6298828125,3538900000.0
2008-10-27,11015.83984375,12736.849609375,10676.2900390625,12372.75,4834400000.0
2008-10-28,12596.2900390625,12596.2900390625,11133.9404296875,11154.5703125,5810900000.0
2008-10-29,12702.0703125,13307.419921875,12333.9404296875,12807.349609375,4183600000.0
2008-10-30,14329.849609375,14329.849609375,13280.4404296875,13280.4404296875,5338300000.0
2008-10-31,13968.669921875,14122.7802734375,13517.419921875,14037.3701171875,3531200000.0
2008-11-03,14344.3701171875,14889.1298828125,14272.169921875,14436.0302734375,2971300000.0
2008-11-04,14384.33984375,14539.58984375,13853.16015625,14337.6201171875,2387900000.0
2008-11-05,14840.16015625,15317.830078125,14750.0400390625,15045.5302734375,3458900000.0
2008-11-06,13790.0400390625,14081.759765625,13674.0703125,14081.759765625,2739100000.0
2008-11-07,14243.4296875,14254.2197265625,13273.08984375,13273.08984375,2750300000.0
2008-11-10,14744.6298828125,15147.9599609375,14453.6201171875,15033.1796875,2801000000.0
2008-11-11,14040.900390625,14853.830078125,13926.7099609375,14322.9501953125,2453800000.0
2008-11-12,13939.08984375,14256.0595703125,13626.3095703125,14155.259765625,2071500000.0
2008-11-13,13221.349609375,13373.1103515625,12943.1103515625,13068.9296875,2813700000.0
2008-11-14,13542.66015625,13749.5302734375,13493.8603515625,13749.5302734375,2182700000.0
2008-11-17,13529.5302734375,13738.1201171875,13277.6396484375,13584.349609375,1604600000.0
2008-11-18,12915.8896484375,13363.5703125,12676.2802734375,13298.8798828125,2489000000.0
2008-11-19,12815.7998046875,13179.330078125,12738.5302734375,12827.3701171875,2060800000.0
2008-11-20,12298.5595703125,12298.5595703125,11976.8798828125,12170.98046875,3096100000.0
2008-11-21,12659.2001953125,13048.5,11814.8095703125,11814.8095703125,3106000000.0
2008-11-24,12457.9404296875,12707.23046875,12239.490234375,12239.490234375,1769100000.0
2008-11-25,12878.599609375,13090.8798828125,12767.4404296875,13012.0,2466300000.0
2008-11-26,13369.4501953125,13369.4501953125,12990.349609375,12990.349609375,2394600000.0
2008-11-27,13552.0595703125,13930.91015625,13332.9296875,13901.4501953125,2776100000.0
2008-11-28,13888.240234375,13896.490234375,13550.2900390625,13550.2900390625,2150300000.0
2008-12-01,14108.83984375,14253.66015625,13659.4404296875,13775.2802734375,2041600000.0
